et-4/0/13:1,1949649302
et-4/0/13:2,1939785512
et-4/0/13:3,1939793924
et-0/0/0:1,3813852785
et-0/0/1:0,354804199
et-0/0/1:1,355831849
et-0/0/1:2,355264662
et-0/0/1:3,353855150
et-0/0/2:0,356669072
et-0/0/2:1,356169589
et-0/0/2:2,355751538
et-0/0/2:3,357403111
et-0/0/3:0,354717695
et-0/0/3:1,354956723
et-0/0/3:2,355325191
et-0/0/3:3,355087048
et-0/0/4:0,355849720
et-0/0/4:1,355457558
et-0/0/4:2,356511364
et-0/0/4:3,355995908
et-0/0/9:0,15393222906
et-0/0/9:1,903885
et-0/0/9:3,917920
et-1/0/0:1,3815705741
et-1/0/1:0,355122746
et-1/0/1:1,355278822
et-1/0/1:2,355376800
et-1/0/1:3,360587730
et-1/0/2:0,354699689
et-1/0/2:1,355162128
et-1/0/2:2,355656918
et-1/0/2:3,355318159
et-1/0/3:0,355575581
et-1/0/3:1,354854649
et-1/0/3:2,354581088
et-1/0/3:3,356520846
et-1/0/4:0,354792755
et-1/0/4:1,354024297
et-1/0/4:2,356369431
et-1/0/4:3,356851267
et-1/0/9:3,154466321
et-1/0/12:2,1919005602
et-1/0/12:3,1918986226
et-1/0/13:1,1918849365
et-1/0/13:2,1919089809
et-1/0/13:3,1919150695
et-1/0/23:0,423110
et-3/0/12:0,1919204175
et-3/0/12:1,1919435721
