et-4/0/13:1,1949658370
et-4/0/13:2,1939794598
et-4/0/13:3,1939803209
et-0/0/0:1,3813846437
et-0/0/1:0,354803583
et-0/0/1:1,355831247
et-0/0/1:2,355264063
et-0/0/1:3,353854564
et-0/0/2:0,356668467
et-0/0/2:1,356168984
et-0/0/2:2,355750944
et-0/0/2:3,357402523
et-0/0/3:0,354717100
et-0/0/3:1,354956120
et-0/0/3:2,355324605
et-0/0/3:3,355086485
et-0/0/4:0,355849124
et-0/0/4:1,355456920
et-0/0/4:2,356510805
et-0/0/4:3,355995313
et-0/0/9:0,15393197576
et-0/0/9:1,903467
et-0/0/9:3,4432
et-1/0/0:1,3815445217
et-1/0/1:0,355123130
et-1/0/1:1,355279186
et-1/0/1:2,355377162
et-1/0/1:3,360246307
et-1/0/2:0,354700073
et-1/0/2:1,355162510
et-1/0/2:2,355657295
et-1/0/2:3,355318536
et-1/0/3:0,355575966
et-1/0/3:1,354855026
et-1/0/3:2,354581469
et-1/0/3:3,356521223
et-1/0/4:0,354793137
et-1/0/4:1,354024654
et-1/0/4:2,356369838
et-1/0/4:3,356851677
et-1/0/9:3,153555522
et-1/0/12:2,1919008474
et-1/0/12:3,1918989030
et-1/0/13:1,1918852210
et-1/0/13:2,1919092608
et-1/0/13:3,1919153539
et-1/0/23:0,86347
et-3/0/12:0,1919215783
et-3/0/12:1,1919447221
